Username,Rating,Date,Comment
Bront,,"Reviewed in the United States on January 19, 2024","I've been a long time user of the G602 and G604, but both were heavy, and the 604 replaced the 602, and has since been discontinued and not replaced. So after searching for mice with extra buttons near the thumb but also comfortable with a lot of the features I've loved in the 604. While the G502 X didn't fill all those needs, it's been a great choice.

Pros:
- Ergonomic - It just fits my (rather large) hand well in a few different positions, and is so light I've found my wrist fatigue has been reduced significantly. Unlike the 604, I can press every button easily without looking for them, particularly the scroll wheel, DPI adjustments, and 3 easy to find thumb buttons is great. It also feels comfortable, which is hard to describe, but the material feel is what I want in a mouse.
- Light - I mentioned this in the ergonomic part, but its super light. Apparently it's around 105 grams, which can be heavy for an ultra-competitive mouse, but for most gamers or folks just looking for a light wireless mouse, it's great.
- Great button feel - The older Logitech mice used to have a weird mushy click and my old 602 and 604 both had issues where the button would stop working well. The new G502 X models have a new mechanical click that feels amazing. Very much like a mechanical keyboard as far as consistancy and feedback. Not every button has the same feel, but they all feel very tactile and reliable.
- Great battery life - I can get 3 weeks on a full charge at 1000 hz poling rate. Don't bother with smaller polling rates, as when the mouse isn't being used it's not a power issue, and when it is in use, it's still not a huge power issue. You might get a few extra days at best, but if 3 weeks isn't enough charge time for you, I'd be shocked.
- USB-C charging - Sad that this is still a plus, but USB-C cables are so much better. Glad we're finally starting to no longer see Micro-USB cables.
- Works Wired - Forgot to charge it? You can use it wired, or use it while charging (Either works).
- Great sensitivity - The mouse is so adjustable, I found I could turn it down from my usual DPI and get both great responsiveness and accuracy with a near default config.
- Customizable - Logitech G software has flaws, but it does allow some pretty good versatile configurations. Every button can be remapped and remapping can be done on a per-app basis.
- Logitech Support - I've had multiple issues with Logitech mice long into their service but under warranty, and Logitech has always been easy to work with to get a replacement or help. This sounds like I'm saying Logitech has a quality issue, and I'm not, I know stuff happens, particularly with high use products, so it's good they stand by them.

Cons:
- Large - It's not a small mouse, so if you have small hands, it could be a little large for you. It also means it's not easily portable, though honestly mice aren't that large in general, so portability isn't a major concern, and you can always get a mouse case if you travel a lot and want to protect it.
- Logitech G Software sucks - I mean, it does OK, it can auto-sense games, you can copy profiles, but it has several general flaws, including if it detects a new game it generates that game's default setting that you CAN NOT CUSTOMIZE ahead of time. If I have a known default mapping/DPI setting I know I like in most games, why can't I make that the default? Also, making button changes and navigation of the US is very unintuitive. Like one of the worst UIs I've worked with on a major brand's software. It also by default likes to spam notifications that is harder to turn off than I would have liked (Otherwise, every time the mouse gets touched, you get a windows notification or 3 about the mouse and DPI changes). Their old software (pre 2015) was easy to use, and worked in the UI was nearly the exact opposite of this. Fix your software Logitech!
- No backup gliders - Not a deal breaker, as I know I've not had a mouse with glider issues in the past 10-15 years, but it would be nice, particularly on a gaming mouse where if the pads wear it could be noticeable for some. I don't need stickers Logitech, I'd rather have a replacement pad set.
- No pinkie rest - Some mice have a nice pinkie rest that helps you relax your hand a bit. This mouse does not. That's definitely a personal thing, and honestly most gaming mice have moved away from this due to weight, but with a large hand, I like mice with them.

Overall, it's a great mouse with a lot going for it. I'm enjoying using it, have found my hand/arm feel better after a day of using it vs my old mouse, and love all the features it offers that I can look past any small shortcomings.

Who do I recommend this mouse for? Artists who need finite DPI control. Office workers who want a bigger mouse (there are cheaper options, but it's a solid productivity mouse). People who use their computer for a significant time. Casual gamers. Competitive gamers who want an all in one mouse. It's a good mouse for a lot of use cases, which is why I'm giving it a 5 star review. It's not perfect, but very few products are, and it's strong where it needs to be."
John,,"Reviewed in the United States on May 29, 2024","This is an excellent mouse. It might not be the absolute best mouse for competitive gaming, but it still performs very well. Rtings ranks this as the ""best wired mouse"" which it absolutely deserves. Tracking is excellent and the ergonomics are great. The rubber grips are nicer and don't wear out quickly like my G403/G703 did. Given that it uses optical switches, I expect it to not start double-clicking like all my other Logitech mice, but we'll see about that.

The best part about it is the amount of buttons and general utility it provides for non-gaming tasks. The scroll wheel unlocks and can spin at high speeds, and it can tilt left and right for horizontal scrolling. You have three thumb buttons, two extra buttons next to the left mouse button, and a middle button below the scroll wheel toggle. All of the buttons can be rebound, and you can also have an extra ""layer"" of buttons that can be switched to when a specific button is held (I use the ""sniper"" button for this). This means you get a ton of easily-accessible shortcuts which makes navigating web pages or documents very convenient.

Only two possible downsides to consider: it's wired, but the cable is very thin and light, and not having to charge ever is a big plus. There's also no RGB, which isn't a deal-breaker for me but some might find it disappointing."
Barn & Field,,"Reviewed in the United States on September 23, 2023","For about the last decade I’ve used the same mouse, a Logitech G502 Proteus Core, this mouse’s great great great grandparent. In that time I became accustomed to the particular shape and feel of this mouse, the incredibly intuitive placement of extra buttons, and the surprisingly decent software (which has had its ups and downs over the years but has consistently remained functional for me).

I previously avoided upgrades to the G502 Proteus Core because it did everything I needed from a mouse, never broke, never needed a new battery, and was rock solid reliable over USB. But recently I started wondering again if wireless mouse technology had advanced enough to make it competitive with wired.

Enter the G502X Lightspeed, my first wireless mouse in over a decade. Overall I like this mouse more than my Proteus Core. The wireless tech has been almost perfectly reliable for me. The only issue I have with it vs a wired variant is that it takes a second to adjust to its settings after waking up from sleep. I’ve had zero dropped inputs or noticeable lag. In this sense, it has been as reliable as I expect a mouse to be and really confirmed the strides there have been in wireless technology. The lack of RGB lights is a welcome change for me. I always kept the blue lighting disabled on my Proteus Core, so to not have any unlit light spots or lighting settings to deal with has been nice for me. Battery life has been great. I use this mouse for about 12 hours a day between work and personal computers and get about 3 weeks between charges. I doubt the battery will let this last as long as my Proteus Core before it needs to be serviced or replaced, but for the benefits of no cord drag, I’m willing to accept that I think. The clicks are a little more hollow-sounding than on the original, but seem to be just as or more accurate. I prefer a heavier mouse, so I slightly miss the heft of the Proteus Core, but I’ve quickly adjusted to the pleasant weight of this mouse which is still a bit heavier than many of its competitors. The slight change in shape is better for my hand and typical palm grip, I can feel the improvement in my ability to reach buttons and in day-long use comfort. The scroll wheel isn’t as substantial, but it still offers a very pleasant endless scroll and a tactile locked scroll feeling.

This mouse is a worthy successor to the Proteus Core throne and it does so many things right that its trade-offs are worth it to me. The G502 line continues to be my favorite way to interact with a computer, and I’m glad to see Logitech continuing to improve and commit resources to this great series of mice."
Alex A,,"Reviewed in the United States on June 22, 2024","First of all the mouse looks absolutely amazing.
It works just fine with the POWERPLAY charging mousepad.
The clicking feels super nice, and I’m very happy with it.
I have have 0 issues with the tracking on the mouse. It does exactly what you need to do in terms of cursor tracking and customizability via the GHub App.
It seems very durable considering my old mouse was the 502 wireless (original wireless) and it still holds up. I just bought this one because it looked really cool and had better specs overall.
It’s very easy to use and super easy to get into if you have had the old G502. It’s a bit lighter as well and does not include magnets.
Get this product !"
Abhishekh Reddy,,"Reviewed in the United States on November 13, 2022","Before buying this mouse, I was a G402 user since 2015 and as most button switches including the primary ones reached EOL. I was definitely sure that my next upgrade's gonna be the renowned G502 series.

I was very excited when Logitech announced the new G502X but due to the pricing, I wanted to try the older G502 Hero first when it went on sale at $35 recently. The G502 Hero felt pretty similar to G402 in terms of ergonomics with small improvements in accessibility of side buttons. But I felt the mouse was heavy even without the weights and didn't like the metal scroll wheel. Even the RGB fun faded off just after a few hours and honestly found it distracting. (After 3 days of using).

So I wanted to try the wired G502X as well and decided to return one of them at the end. After trying out the G502X, I felt the improvements addressed every shortcoming G502 Hero and G402 did for me.

The new shape offers much better support to the left part of palm (Just below index finger) with some increased height there. The DPI shift button, the side buttons, especially the ones next to left click felt even more accessible and practical to use them more than ever before. The new switches feel more clicky, tactile and satisfying but needs a bit more effort to click. Should see how long these switch will last in the long run.

The lightened scroll wheel with rubber grip feels more mature, the feel of ratcheted mode is lighter yet snappy and satisfying. Can assign custom scroll functions. And the overall aesthetic feels really mature and evolved, ready for the future.

I usually have a mixture of palm and finger grip and the mouse perfectly fits in with the improvement in right part of the palm (Just below index finger) support and quickly got used to the feel of mouse (Usually a few minutes of break-in time). The skates are much larger and a huge step-up. The mouse glides much smoother which complements well with the lighter weight of mouse (Lighter than both G402 and G502 hero).

But also, the wired G502X is expensive, no RGB but most notably the cable is a bit worrisome. I still would prefer the wired version just for the years of life one can squeeze out without worrying about battery wear.

Finally, I returned the G502 Hero and am gonna use the G502X for the coming years. Despite the price, I don't regret it. It's an agile mouse with a ton of functionality. If you are upgrading from an older mouse like me or a lower-end/basic one, go directly for this. But if you're already happy with the older G502/similar, need for this mouse is much weaker and it's up to you.

Thank you for reading so far. Happy holidays!"
namco,,"Reviewed in the United States on March 17, 2023","Backstory. I have been a gamer my whole life. I am currently as of writing this 34 years old. Yeah not a youngin but not an old man either.... I grew up using OG computers with ball mice. Over the years I had gotten a good feel on what makes a good mouse ""in my opinion"" and sadly many mice do not fit the bill. Many will SEEM to fit, only to fail later.

My very last mouse was the Razer Viper V2 Pro. And what a freaking mistake that was. I swear I have the worst time with mice. I use my computer at least 8 hours a day mix gaming and non gaming. I had given up on Razer for along time, trying off brands, chinese brands, and so on. But, I wanted a wireless mouse, so I gave Razer a chance. FIVE (5) months after use, the wireless side of the V2 Pro just stopped working for no reason. Legit would not connect. Tried multiple computers, over 20 different usb ports and hubs, it was just dead. Googled the issue and sure enough its a ""common"" issue and everyone with said issue ends up buying a new mouse as replacement. WHAT? I am not going to buy ""another"" Razer of the same model when it freaking failed. Why, so it can fail again in 5 months? I feel bad for people who keep giving these companies with bad practices money.

Turn around and I finally ordered this Logitech. EVEN Logitech, I had sworn ""to never use"" because they kept failing in terms of left click. They ALL have the same issue, double click error after long use. You can google that too and find many people complaining of double clicking ""but Logitech has the best wifi connection so no other brand can compare"" thus ""they still buy Logitech."" So like Razer, I decided to give them a second chance.... This time around, Logitech has given us optical switches, which IN THEORY should never fail in terms of double clicking.... So here I am, using it.

Firstly the mouse movement feel 1:1 vs what I see on screen. No I don't mean DPI wise. YES, 1200 DPI on this Logitech feels COMPLETELY different than 1200 DPI on the Razer I was using before it. But I dare say this G502 X Lightspeed is more ""accurate"" and ""stable."" No matter how fast or slow I move the mouse, the cursor tracks properly and moves the proper amount you expect. Razer was only ""slightly"" worse in this regards where sometimes you felt like ""I didn't aim there"" when moving. It didn't happen often, not as often as 3rd party cheap Chinese mice that's for sure. My go to mouse for a long time was Cooler Master brand, Spawn, Xornet 2, MM720.... I like the wider mouse as I have ""bear paw"" hands (wide hands with short fingers). But those mice have tracking issues. You move fast and the rate at which the mouse moves is different then when you move it slower. And its a huge variation between each speed you move the mouse. Its bad. This G502 X LS is the first to feel accurate like OG mice from back in the day, like the classic Microsoft Intellimouse which was my go to back in the 2000's....

The battery life is insane. The razer I would need to charge just about once a week. So far my Logitech seems to ""last forever."" I ended up buying one of those Soarking Charging Docks for the Logitech mice. Comes with the little POG bottom cover that allows for mounting/charging. And its magnetic. Every once in awhile I just toss it onto that charger while I sleep. I don't really think of it as ""charging"" because it charges while the PC is literally turned off. Which is a huge plus. You could argue ""that's why its lasting longer"" but ""out of the box"" the initial charge lasted me TWO WEEKS before the mouse shut off on me. THAT was when I bought the charging dock.... still two weeks vs one week on the razer is double the time....

The only downside is that the left and right click feel, mushy? its a short distance and the click feels, well it feels weird. It doesn't feel like a click, more like a ""clock"" feel. Its hard to explain really. Its not BAD per say, but I like the feedback of other mice where the click feels like an actual click. Mushy is the only way I can explain it. Its still a sharp feeling but mushy at the same time. I'm not good at explaining it.... again its not bad.

The scroll wheel also feels janky. I don't understand the ""free wheel"" scroll feature. Why? And when its in the click style turn mode, the ""notchy"" feel, it feels, mushy. I have to say my favorite mouse wheel has been Cooler Master mice. MM720 for example. Best mouse wheel on the market in my opinion.

IF I HAVE TO, I will come back an edit my review if something goes wrong. For now ive been using this mouse for over a months, 8 hours a day minimum, and its been flawless for now.

On an off note, my DREAM mouse would be Cooler Master optical buttons, Cooler Master scroll wheel, Logitech Wireless technology, Logitech Sensor, and shape can just have multiple shapes to please everyone, a normal one, an ergonomic one that has a high hump, a wide one like my fav CM mice. That mouse would be the mouse to end all mice in my opinion."
Hoai N.,,"Reviewed in the United States on November 7, 2022","I have some prior logitech mouse over the year like g300 (so many of them like one every 6-12month), g700 and others. Didn't have prior experience with the g502 hero and was always a fan of the 4 top button so I later transition to roccat tyon which is a bit larger and heavier (130gish) mouse that is d/c now. So this would mainly be my baseline comparison.

I been debating between all three version and didn't want to cough up money for powerplay as well for the RBG version so got the wireless non-RGB one. The old g502 lightspeed (non-x) wireless version was going for $80 but mechanical button (not optic) and was more in my price range. The wired version had cheap rubber wire that apparently rubbed against the mouse pad. I have been mostly in the ""wired"" club cause of latency and battery concern before. Going to transition to wireless club now.

Pro:
- 144 hours per ghub which is amazing which is 6 full days. If I use it 8hrs a day, that 18 days before I have to recharged. Usage is more close to 3hr on weekday and 12 on weekend so it should last a month for me. RGB version is like 30ish hours and that was my deciding factor w/o powerplay.
- Apparently only takes ~2 hour to charge to full
- Love the wireless, pretty much no lag at all with the dongle. Simply plug and play, and ghub software download via google.
- Many keybinding. I have like 18 keybinding by utilizing the G-shift key (bind it to the DPI+shift button) for office work profile. This is similar to the roccat easy shift which was by the thumb rest.
- USB-C charging. Did not even use the dongle extension hub. Will just use my android super charger next to my PC every
-25K DPI but who really would use this? I try to set my window sensitivity to lowest with 25k and that not happening. Rolling at window sensitivity 6 with 5500 DPI and 4 other DPI level for shifting.
-1000Hz Polling
-106g weight or so per description. Felt nice and it is gliding on my old logitech mousepad with those new white padding.
-Battery LED in center front of mouse. Can keybind to activate the battery level color.

Con:
- Coming from the roccat tyon, it was a bit smaller for me and had hand discomfort. Hoping to adjust soon.
-Scroll wheel (non-release): a bit louder for personal preference. Like if I'm scrolling down a page, it would go through like 3-4 of the tactile clicks. End up changing mouse setting to increase # of line per scroll to like 20.
-Scroll wheel (infinite scroll): I always loved this when I had the g700. This one, is nice for web page scrolling initially but as my finger tend to be on the scroll wheel, everytime that I stop, the page would scroll up a bit then back down again which is annoying.

-Keybinded new tab / close tab with scroll left and right. Problem is that, the function is ctrl+T / ctrl+W. This ctrl button + scroll wheel = zoom in/out. As I often navigate through many tab at once, it would occasionally perform unwanted zooming.

Neutral
-Would like to have button on the top right side as well.
-No RGB but I wasn't going pay like $15 extra for that plus your hand would cover like 90% of the light area.
-Still not getting use to the mouse click. With the new optic switch, it supposedly will prevent ""double-clicking"" issue. Either I am clicking it too lightly and I do get the feeling of ""I did double click, but it not opening"" since the file is clearly highlighted. Cause it is a bit smaller to my previous mouse, I notice I'm doing more of a claw grip instead of palm grip so my finger are pressing around 3/5 way of the button so this may be the reason.
- Content of box: Mouse, USB cable, dongle, dongle extender, DPI shift button cover and bunch of user guide.
-I feel like I got cheated a bit as it seems like I may have gotten a new returned and opened boxes. There was no plastic wrap and the box was inside a heatsealed plastic bag and the bottom of the mouse was a bit dusty which came off. I was still impress with the mouse so going ignore the hassle of returning and will be keeping it.

Overall: Definitely worth it to get the wireless non-RGB version for me. If you have powerplay then the RGB version may be for you if you want lighting."
J.S.,,"Reviewed in the United States on December 6, 2022","The 2022 Logitech G502 X Plus was a very pleasant surprise. It is replacing a Logitech G-Pro that is roughly 80 grams weight on a Logitech Powerplay mouse pad (expanded cover for extra space and non-stop charging), primarily used for Overwatch2. Other gaming mice in my collection include earlier G502's, G903, Razer Death Adder + Copperhead, Steelseries Rival3 and Rival600, etc. Generally the best performers in FPS games are the lightest units with the best optical sensors, and the G502 X Plus definitely fits that criteria.

Pros:
-Comfortable ergonomic shape for marathon gaming sessions
-PTFE mouse feet for super-smooth glide across mouse pads
-The new optical hybrid switches are incredibly fast compared to the G-Pro's older Omron switches, with a nice crisp click and improved actuation. They will last much longer than conventional mechanical switches and correct double-clicking issues. My last G-Pro's right rear thumb switch suffered from double-clicking issues since they were the old Omron mechanicals that wore out from constant use.
-Nice RGB lighting if you are looking for that kind of bling
-This mouse wakes from sleep mode instantly (like the G-Pro series). The old G502 Hero Wireless required a full second to wake up, making the old sleep mode feature extremely inconvenient and annoying.
-At 106 grams list weight, the G502 X Plus is a tad heavier for a gaming mouse. However, coming from an 80 gram G-Pro, I notice better aim stability without sacrificing flick aim consistency. With the Powerplay charging puck attached and USB receiver stored inside, the G502 X Plus hits 110g on my postal scale. The G502 Hero wireless is 120g with the same accessories.

Cons:
-No more adjustable weights like its predecessor G502, but to be fair, the whole e-sport industry has shifted competitive user demand to lighter weight mice for the fastest aim flicks possible.
-Battery power drains faster with RGB lighting at full settings. This is mitigated by reducing RBG brightness to 85% and shortening idle-mode entry from 2 minutes down to 1. Using a Logitech Powerplay mouse pad, my mouse battery power hovers around 78% to 90% steady with RGB enabled.
-The mouse's black finish tends to have shiny oil stains and wear marks over time. This is why I apply blue painter's tape to the areas most prone to this issue. EDIT Feb 2024 - I've replaced the blue painter's tape with automotive carbon fiber vinyl wrap for better visual appeal. Not recommended if you do not like the feel of textured carbon fiber, but it definitely gets rid of those shiny oil stains. Picture attached.
-GHub software will not allow users less than 3 DPI presets, and all of these have to be different values at 50dpi intervals. I tried to ""lock"" my mouse at 1000dpi to avoid accidental DPI switching, but the software would not allow me to do this, so I ended up moving my DPI cycling button to the default profile button up top and removing the up/down DPI adjustment buttons next to the left click. This gave me two additional buttons for other programable functions (like Alt and middle-mouse click since pressing the mouse wheel down can feel awkward).
-The new hybrid mechanical switches have a different click sound compared to conventional switches -- not really louder, but definitely more metallic.

Yes, this mouse is expensive, but the combination of lighter weight + excellent ergonomics + fast/crisp long-wear switches makes this model very hard to beat. If you are looking for a mouse with more weight and heft, then you may not be happy with the G502 X since the latest model has been redesigned for the e-sports crowd. The G502 X now combines lighter weight with an ergo shape, something that most ultra-light mouse offerings lack.

NOTE: If you want the best wireless mouse experience, I recommend pairing the G502 X Plus with a Logitech Powerplay for non-stop wireless charging while using the mouse. For those that want a larger mouse pad than what the default Powerplay size offers, check out ""Logitech powerplay mousepad expansion mod"" on youtube. I have my set-up displayed in the attached images along with actual weight compared to the old G502 Wireless. Update 4/26/2023: The Glorious XL mousepad is the perfect thickness for this Powerplay expansion mod.

EDIT: I just read a few other reviews claiming that the G502 X feels ""cheap"" because it feels too light. The whole point of lowering mouse weight is to minimize mass, thereby requiring less physical energy / effort to move the mouse quickly and accurately. This is how modern e-sports mice are designed, because a lighter mouse is a faster mouse, while a heavier one is a slower boat anchor that is usually on the losing end of an FPS fire fight. The G502 X Plus is only 10 grams lighter than the G502 hero, yet it is much easier to flick-aim than the older G502 Hero Wireless.

Also, if you want RGB on the G502 X, you have to get the Plus edition, other wise you get no RGB. Yet one newer review complained about missing RGB LED's on his G502 X non-Plus edition. Going no-RGB is still a valid choice since it saves a few grams, extends battery life, and costs less, but just make sure you know what you are buying ahead of time. ;)"
uwuru,,"Reviewed in the United States on June 18, 2024","It's almost perfect so far. Even though it comes down to preference, I think this is one of the prettiest if not THE prettiest mouse out there while not being over the top, and it feels really great to use. It has tons of buttons, which can be a bit of a hassle (I've found myself pressing the scroll wheel buttons a ton accidentally) but hasn't really caused any issues, and you can configure them in the Logitech software so at least there's that. Speaking of the software, it's been really easy to just intuitively use without having to really read anything at all, though the notifications get a bit annoying. (you can them off)

Overall, its really, really good, but the main problem I find myself with is the battery life. It lasts me a few days before having to charge, and it's just annoying to have a wire running. Thankfully, there is something in the box that lets you connect both cables, and it basically lets you swap between the two really quickly while also allowing you to hide the wire when you don't need to charge; still pretty annoying, but it's good enough for me."
D. Goolsby,,"Reviewed in the United States on June 10, 2024","Upgraded from my old G502 Proteus to the 502X Plus. It's nice to be wireless again. It feels like the same old mouse, but has a few minor changes. The main 2 buttons have a sort of hollow sound to them that I'm not crazy about, but I don't notice after a while. (it must be something to do with opto-mechanial switches, the switches on my newish Corsair K100 kb have a hollow sound too).

One potential is the infamous ghub software. I didn't like it when I tried it a few years ago. This time, I'm having no issues with it at all so I can't hate on it.

If you're wondering if you should pay extra for the RBG, YES! (as long as you like RGB). This looks so good in person and the ghub gives you some nice customization. Admittedly, the price difference between the Plus and non-Plus seems a bit steep, but if you're not in a hurry, wait until a sale. (which really you should anyway). When the G502X goes on sale, I find the price difference between the 2 version narrows down, so at least you won't think that you spent a lot for just RGB."
