Username,Rating,Date,Comment
Jake,,"Reviewed in the United States on February 28, 2024","Just upgraded to the G502X Plus Wireless from the previous G502 Hero (wired) because the original Hero had a braided cable and the newer versions dont, I figured I'd switch to the wireless version.

Overall, the G502X is quite a bit lighter, it's retained practically the same shape and functionality making it a nice transition from the G502 to the X. My main gripes are why have RGB that are never going to be seen and just drain the battery life faster (Which can be turned off at least, but you paid some $20 extra to have it so why not leave it on), in a spot you can't really see? At least the hero had the ""G"" logo light up, this one just has the strip that gets practically entirely hidden when you hold it.

The concern I have is that it was missing the sniper button out of the box, and while other reviewers show it has some sticker included, mine didn't. There is still a cutout in the box for where the second sniper button should be, and I've checked inside the mouse pocket (where you can store the USB) to ensure it's not there, and it's nowhere to be found. The package appeared to be factory sealed with all of the plastic still on the mouse itself so I doubt it was refurbished or pre-owned so it may not even be an amazon issue, but it's concerning when items listed on the website as ""included in package"" are not actually delivered. It's not a huge issue since I can rotate the sniper button 180 degrees to have it be less in the way, but I'd prefer to have had the secondary button as an option since I never used the sniper dpi on the original g502 hero.

Overall it's still maybe a bit pricey for what it is, the build quality is good and my original hero lasted for 4+ years with nothing wrong (other than it collecting a lot of dirt in the nooks and crannies) it was a good mouse and was due for an upgrade. I'm just a bit let down that logitech quality control didn't catch it this time and it arrived missing the extra button, especially on something marketed as a higher-end premium product for ~$150, I'd expect better.

Still, the mouse is good and I'd overall recommend it. I'm just giving it a 1/5 due to the quality control issue which while rare, is unfortunate. I'm not going to bother returning it just to get a new one to get a button since I've already been using it today without issue, just hope it doesn't happen to someone else who would really care more about it."
Nicholas H.,,"Reviewed in the United States on December 21, 2023","the size buttons on my mouse were starting to die and the left click was getting a little too mushy for my taste. Normally I replace mice sooner, but since I stopped playing games competitively, I let it go longer before replacing it. I usually trust Logitech to make great products and have good experience in the past with them. I wanted another lightweight wired mouse, so I choose the G502. Unfortunately this mouse was awful.

the mouse had a hard time tracking on my mouse pad. I thought it was because my pad was not perfectly even but no amount of fixing it made it work any better. it seemed to work fine one moment and the next it wouldn't track. I tried changing dpi, polling rate, etc. not change. I play a lot of FPS games and not being able to flick on to my target caused me to die more times then not.

The other major problem I had with the mouse was the scroll wheel. it had 0 resistance, no clicks, no feedback, nothing. I'm pretty sure it's supposed to be a feature of this mouse. the problem with this is I found my character switching to my secondary weapon more often then I would like. one sec I had my assault rifle out the next I had a pistol or smoke grenade out and a few times I got stuck in the weapon switching animation and I died. it happened way too often.

one a final minor note, your supposed to be able to remove/change out the dpi switch on the side of the mouse, but I could not figure out how and there was noting in the instructions on how to do it. I tried to pry it off a couple times but it always felt like I was going to rip it off.

I was so scared after having these issues I was worried that this was the default style of mice from now on and all mice from Logitech were going to be the same, that I returned this and ended up getting a mouse from another brand."
Amazon Customer,,"Reviewed in the United States on June 5, 2024","Does not fit my hand compared to the old g502 hero model. If you have slightly bigger hands than most this mouse is no longer viable for usage like it used to be. Also the click strength for the buttons is about 2x3 harder with a loud loose spring sound that sounds like a wet noodle. This makes you have delayed shots in fps games. The rbg looks odd and the software for the rgb is a joke, the G logo doesn't even glow and no rgb for the dpi sensors. This was 2 steps back when it comes to a mouse upgrade. 0/10 This is the value of a 40$ mouse."
User,,"Reviewed in the United States on December 2, 2022","In the 30 minutes that I have owned this mouse, 2 problems have already arisen. Things were working fine for about 5 minutes and at some point after plugging it in to charge it, the left click button began acting as the back button, which made doing anything nearly impossible. I talked with their live chat and the solution was to send it back after going through all of the trouble-shooting steps. I took it upon myself to mess around with it a bit more and it finally started recognizing the left mouse button again.

No more than 1 minute later, the cursor begins to fidget while dragging a window around and starts lagging for a few seconds before going back to normal. I have a G915 wireless keyboard as well which has been working flawlessly for a long time, so I know there's no sort of interference with other devices.

Extremely disappointed with how this thing turned out because I really wanted it to work and it feels ergonomic. My fear is that I get it to the point where it works fine and then starts randomly not working when I need it the most. Unfortunately this is going to be a return and I'll go back to my old wired mouse.

It is worth noting that if you are set on using this mouse, you pretty much have to use the on-board memory because the g-hub software is incredibly bad and your DPI settings won't be activated until the software loads on your PC. It actually blows my mind how logitech has completely ruined their lineup by suggesting everyone to use their awful g-hub software. I like my g915 keyboard, but I am forced to use g-hub just to be able to map the G keys."
BigBadJon,,"Reviewed in the United States on December 24, 2023","I really wanted to love this mouse, this is my 3rd g502 mouse and the rest have worked flawlessly. I saw the Millenium Falcon Edition and had to get it. Overall it tracks well, can't speak to the battery life as I have the mat that charges it. My biggest issue and probably the reason I won't use it anymore (making it the most expensive paper weight ever) is the mouse wheel is terribly inconsistent. It's almost like it's unbalanced as sometimes it will scroll up (or sometimes down) on it's own. Granted it's only in free spin mode but a mouse this expensive shouldn't just spin on it's own. None of my other mice did this.

It finally annoyed me enough to submit a warranty claim. They wanted me to upload a complicated video where I demonstrate the issue (which is inconsistent) and have my ticket number hand drawn on a piece of paper, then pull the puck off the bottom to show the serial number. Hadn't had a manufacturer ever ask for something like that. It's kinda hard to demonstrate but it also fell to the bottom of my busy list, I finally sat down to try again and after only 3 days they closed my ticket. Worst customer service I've had in a while."
Tamika Cole,,"Reviewed in the United States on March 2, 2024","Needed a new mouse for gaming as My current mouse is a couple years old and the clickers are starting to go. Decided to spend a little more than previously and even though this logitech didn't have a braided cord (odd for a mouse at this price point) I decided to try it out.

First Impression was that it was abnormally light. It did fit my hand well (longer hand) and it was hard to dial in the dpi to what I like on my mouse, the software was clunky and a bit hard to follow. But new mouse, lets learn how to use it! Then It happened, the mouse cursor started jumping instead of moving smoothly, THEN both mouth buttons stopped working. Nothing I tried helped and as I was only a few hours in Its getting shipped back and now not looking at Logitechs at all. Buy at your own risk!"
Corey Chandler,,"Reviewed in the United States on May 17, 2024","I loved this mouse when I first got it. I am glad I held off on writing a review. It stopped registering any clicks at all. Cord didn't get damaged, no debris, no water damage. Just stopped working mid use randomly. Looked online and apparently this isn't uncommon... yet they are still selling this (Logi and Amazon) I would love to get my money back but I the amount of time I would waste fighting for that is worth more than I paid. Tired of having to spend my time getting support for things I already spent money on. Unhappiest I have been in a while, to a point I may just cancel prime and everything."
Joshua A. Wynings,,"Reviewed in the United States on March 1, 2024","This product requires the download of G Hub software to use the RGB, personalize dpi, and reprogram the buttons. Unfortunately, the software is a mess. The latest version has an error where it says it is not download, but it actually is. After 15 minutes of it ""retrying"", it finally downloads and installs. And DOES NOT RECOGNIZE the mouse. The mouse I'm using on the screen connected via USB is apparently not recognized by the own company's software.

I did a complete fresh reinstall of Windows 11 and still doesn't work. The device manager shows the mouse, by name, but G Hub does not. This is unacceptable for a $160 mouse.

Returning and getting a Razer. Maybe that will actually work. It's a shame too, cause the mouse is comfortable and I liked the Millennium Falcon design. Won't be buying Logitech again."
Kenton Baize,,"Reviewed in the United States on December 22, 2023","The Design is a moderate improvement over the Gen1 (feels very light weight which use to set the gen 1 apart from the Razer Mice) but you cannot use Logitech Gaming Software with the Gen2 you have to use the absolute garbage G Hub.

I'll be seeking a return and looking for the Gen1 until I find an alternative because I absolutely refuse to continue using Logitech products that require the G Hub, it want's access to your Discord, it will send you notifications on DPI shifts, I wouldn't be surprised if it want's net access to change your mouse settings.

If Logitech doesn't ditch G HUB and go back to the Logitech Gaming Software they'll lose customers, like me who had been using their mice for the last 2 decades."
Amazon Customer,,"Reviewed in the United States on March 22, 2024",Mouse worked great until 15 days after the return period the left mouse button has collapsed and does not press down anymore. I use this mouse for about 10-12 hours or more a day for work/gaming. I was very impressed with the mouse until last night in the middle of playing Helldivers 2 the left click stopped working. The mouse was never tossed or slammed down and yet 552 hours of use later the button stops working. I feel as if the product was planned to fail after a certain amount of hours used. Logitech products are going down hill.
